;Nome;Saldo0;Referencias;Data0;Excedente1;Data2;Excedente3;Data4;Excedente5;Data6;Excedente7;Data8;Excedente9;Data10;Excedente11
175;LM ATHEA MC 120X120 R;"Armazem
5,70";FRV01E8041 ; 30/11/2022 ; 6385,42 M2; 31/08/2022 ; 997,50 M2; 31/07/2022 ; 5387,92 M2;;;;;;
176;LM ATHEA ST 120X120 R;;FRV02E8041 ; 30/11/2022 ; 5986,42 M2; 30/09/2022 ; 6485,18 M2; 30/06/2022 ; 3092,25 M2; 30/06/2022 ; 3891,68 M2; 30/05/2022 ; 14968,20 M2;;
177;PE CUBIT GRIS POL 90X90 R;"Armazem
268,80";FYF019B021 ; 24/05/2022 ; 504,00 M2;;;;;;;;;;
178;PP CUBIT GRIS MT 90X90 R;"Armazem
230,40";FYF029B021 ; 30/09/2022 ; 244,00 M2; 30/06/2022 ; 244,00 M2; 24/05/2022 ; 24,80 M2;;;;;;
179;PP CUBIT GRIS ABS 90X90 R;"Armazem
422,40";FYF039B021 ; 31/08/2022 ; 314,40 M2; 30/06/2022 ; 240,80 M2; 30/11/2022 ; 1511,20 M2;;;;;;
180;Não encontrado;;FYF049B021 ;;;;;;;;;;;;
181;RV ART LAZULI 15X15;"Armazem
817,95";FYN0139151 ;;;;;;;;;;;;
182;RV BISOTE BLANCO 7,7X15,4;"Armazem
21148,20";FYO01GQ011 ;;;;;;;;;;;;
183;RV BISOTE NEGRO 7,7X15,4;"Armazem
13770,51";FYO03GQ161 ;;;;;;;;;;;;
184;PP ARTISAN GRIS MT 90X90 R;"Armazem
43,20";FZ1019B021 ; 31/10/2022 ; 242,40 M2; 30/09/2022 ; 68,00 M2; 31/08/2022 ; 39,20 M2; 31/07/2022 ; 19,20 M2; 30/06/2022 ; 9,60 M2; 08/06/2022 ; 135,20 M2
185;PP ARTISAN ANTRACITA MT 90X90 R;;FZ1019B101 ; 30/09/2022 ; 1018,40 M2; 30/06/2022 ; 620,00 M2; 06/06/2022 ; 71,20 M2; 26/05/2022 ; 26,40 M2;;;;
186;PP ARTISAN GRIS ABS 90X90 R;"Armazem
35,20";FZ1039B021 ; 30/09/2022 ; 89,60 M2; 30/06/2022 ; 39,20 M2; 06/06/2022 ; 14,40 M2;;;;;;
187;PP ARTISAN ANTRACITA ABS 90X90 R;"Armazem
1436,80";FZ1039B101 ; 31/10/2022 ; 1863,20 M2; 31/08/2022 ; 166,40 M2;;;;;;;;
188;LM DUBLIN GREIGE MT 60X120 R;"Armazem
1050,09";FZ20154021 ;;;;;;;;;;;;
189;LM DUBLIN GREIGE MC 60X120 R;"Armazem
8,52";FZ20254021 ; 16/05/2022 ; 964,18 M2;;;;;;;;;;
190;PP BRICK LITHUS BLACK 7,5X30;"Armazem
235,62";FZD0157161 ;;;;;;;;;;;;
191;PP LITHUS BLACK MT 90X90 R;;FZD019B161 ; 08/06/2022 ; 1859,20 M2;;;;;;;;;;
192;PP LITHUS BLACK ABS 90X90 R;;FZD029B161 ; 30/09/2022 ; 1241,60 M2;;;;;;;;;;
193;LM RUPESTRE GRAY MT 120X120 R;"Armazem
14,25";FZG01E8021 ; 30/11/2022 ; 2094,75 M2; 30/06/2022 ; 1197,00 M2;;;;;;;;
194;LM RUPESTRE GRAY MC 120X120 R;;FZG02E8021 ; 30/11/2022 ; 1496,25 M2; 31/07/2022 ; 997,50 M2;;;;;;;;
195;INS MARROCOS GARDEN MT 30X90,2 R;"Armazem
399,60";FZH01AW161 ;;;;;;;;;;;;
196;INS MARROCOS ANTRACITAMT30X90,2R;"Armazem
1,08";FZH02AW151 ; 10/05/2022 ; 1848,15 M2;;;;;;;;;;
